TCGA.3C.AALI.01A.11R.A41G.13	TCGA.A1.A0SQ.01A.21R.A143.13	TCGA.A2.A0CL.01A.11R.A114.13	TCGA.A2.A0D3.01A.11R.A114.13	TCGA.A2.A259.01A.11R.A16E.13	TCGA.A2.A1FX.01A.11R.A13P.13	TCGA.A1.A0SD.01A.11R.A114.13	TCGA.A2.A1FV.01A.11R.A13P.13	TCGA.A2.A0CS.01A.11R.A114.13	TCGA.A1.A0SB.01A.11R.A143.13	TCGA.3C.AAAU.01A.11R.A41G.13	TCGA.A2.A0ES.01A.11R.A114.13	TCGA.A2.A0CO.01A.13R.A22I.13	TCGA.A2.A25A.01A.12R.A16E.13	TCGA.A2.A0CK.01A.11R.A22I.13	TCGA.5L.AAT1.01A.12R.A41G.13	TCGA.A2.A1G4.01A.11R.A13P.13	TCGA.A2.A0CV.01A.31R.A114.13	TCGA.A2.A1FZ.01A.51R.A14C.13	TCGA.3C.AALK.01A.11R.A41G.13	TCGA.A2.A3KD.01A.12R.A214.13	TCGA.A2.A1FW.01A.11R.A13P.13	TCGA.A2.A0CW.01A.21R.A114.13	TCGA.A2.A04U.01A.11R.A114.13	TCGA.A2.A0CR.01A.11R.A22I.13	TCGA.A2.A25D.01A.12R.A16E.13	TCGA.A2.A25B.01A.11R.A168.13	TCGA.A2.A0EP.01A.52R.A22V.13	TCGA.A2.A0T3.01A.21R.A114.13	TCGA.4H.AAAK.01A.12R.A41G.13	TCGA.A2.A0EW.01A.21R.A114.13	TCGA.A2.A3XS.01A.11R.A22V.13	TCGA.A1.A0SG.01A.11R.A143.13	TCGA.3C.AALJ.01A.31R.A41G.13	TCGA.A2.A1G6.01A.11R.A13P.13	TCGA.A1.A0SI.01A.11R.A143.13	TCGA.5T.A9QA.01A.11R.A41G.13	TCGA.A2.A1G0.01A.11R.A13P.13	TCGA.A2.A04W.01A.31R.A114.13	TCGA.A2.A3XT.01A.11R.A22V.13	TCGA.A2.A25C.01A.11R.A168.13	TCGA.A1.A0SF.01A.11R.A143.13	TCGA.A2.A3KC.01A.11R.A214.13	TCGA.5L.AAT0.01A.12R.A41G.13	TCGA.A2.A1G1.01A.21R.A13P.13	TCGA.A2.A25E.01A.11R.A168.13	TCGA.A1.A0SN.01A.11R.A143.13	TCGA.A2.A04N.01A.11R.A114.13	TCGA.A2.A25F.01A.11R.A168.13
hsa-miR-34a-3p|MIMAT0004557	0.157309	NA	0.297654	1.147578	0.980469	0.641457	0.487022	0.387958	0.797989	3.76328	0.937377	0.321133	0.815633	0.294463	0.893982	0.82845	3.818733	0.440794	0.575714	1.739214	0.189025	0.504116	0.169154	0.375893	0.705745	1.682295	0.622977	1.17354	NA	0.324344	NA	0.830425	2.085484	0.877135	0.407537	NA	1.650762	0.285507	1.09196	0.668394	1.090896	NA	0.671112	0.68339	3.059877	0.849502	0.275384	NA	NA
hsa-miR-181a-5p|MIMAT0000256	4074.764369	356.941495	1503.152009	2226.303349	898.109654	1830.718811	1317.880466	1610.802618	1400.737546	5920.477685	570.955388	1036.93699	1068.613236	400.175266	1612.297863	1690.038631	634.455455	889.082443	969.789713	3061.489566	877.455461	902.620346	3658.294301	2810.551468	1395.259026	2968.577092	849.117491	2800.552581	934.324449	1924.494056	1145.211902	2050.184323	1126.161354	2948.151289	2122.043371	2332.565985	6202.463211	461.093425	1040.366262	1692.04059	2205.790913	431.695615	3002.422172	1826.290798	501.054705	920.860375	441.164932	893.310315	6889.505067
hsa-miR-181a-2-3p|MIMAT0004558	299.672861	186.498845	649.183074	633.463636	932.426072	740.241591	664.297469	401.148821	743.194211	6948.689746	611.543741	531.474361	224.978363	362.189533	519.40397	506.301488	582.084241	809.298645	776.63777	350.056184	418.312999	176.440728	498.919824	10647.16735	672.716694	429.658047	332.669656	467.264037	808.354466	629.06484	1069.232826	894.369209	609.656487	566.298539	731.935837	527.653325	317.771691	628.685894	880.393913	621.272655	1459.618318	519.543626	624.134431	448.850395	409.640908	672.805734	402.060422	1134.266538	1786.607167
hsa-miR-181b-5p|MIMAT0000257	1137.341097	53.108943	327.716905	529.416463	256.882892	527.919268	255.442832	283.985428	223.171053	1553.81701	99.080587	149.968901	200.781296	81.419033	327.79367	318.006567	134.201236	144.360183	156.306269	494.252767	148.006813	221.811197	823.69557	1830.974482	279.192951	1108.968618	179.417345	506.284205	186.130538	309.099661	225.865076	659.081732	222.451623	591.516096	231.480824	483.510314	942.034865	81.083921	245.145341	281.728264	493.084813	67.772121	592.592151	376.137725	112.450449	217.47256	69.672117	189.295809	1122.558483
hsa-miR-181c-5p|MIMAT0000258	42.945246	4.940367	42.564502	120.878324	23.531257	15.074245	53.085356	13.578538	63.573161	283.082377	394.072639	23.763809	90.127284	17.962246	162.853854	33.374711	25.640073	76.477839	34.254966	61.979233	92.622398	8.822035	53.621828	105.250024	82.854531	21.869831	21.804191	47.626119	28.24439	136.224406	24.175162	241.100458	120.95807	121.81175	77.02443	51.15638	126.283295	66.808584	49.411255	34.422315	33.817763	36.954988	127.914002	90.754161	39.778393	17.839545	19.827638	32.806245	47.432049
hsa-miR-181c-3p|MIMAT0004559	45.776801	5.557913	37.504387	158.365909	18.628912	21.168087	38.961729	10.474872	96.556727	135.478123	341.485876	27.617399	62.259874	30.624155	145.272193	29.942561	37.641809	67.441553	56.132085	66.722543	80.713805	8.569978	32.562151	575.116189	71.280304	13.458357	26.16503	44.496682	33.045937	180.821681	35.226663	155.151328	118.872587	110.299387	41.976276	46.618315	67.956371	83.367976	67.155626	43.779838	43.635825	32.607341	117.444651	65.742096	87.588952	54.36814	21.755325	73.531241	61.266397
hsa-miR-182-5p|MIMAT0000259	52062.69314	140527.495305	19871.967166	47436.327532	26300.101969	18416.877255	39395.42112	142793.850236	45625.049199	31743.695459	84559.326686	26005.634598	25966.853009	125805.945335	27737.155364	26266.727147	55780.254731	30803.59917	34218.982494	69462.594188	12671.500294	33079.863625	39656.302679	16457.344424	32178.187774	33425.848323	51015.576915	4806.228211	71535.980813	21953.860146	22544.37351	19896.739248	59547.519488	61657.027904	13314.222583	37475.350043	22686.422621	35629.530995	91888.828497	16988.247946	83270.24321	103610.527695	19264.949491	80943.826871	48824.529505	27132.250501	17413.897799	103972.798718	4550.512171
hsa-miR-182-3p|MIMAT0000260	NA	NA	NA	NA	NA	NA	NA	0.387958	0.531992	NA	0.843639	NA	0.543755	0.147232	0.297994	0.11835	0.545533	0.220397	0.575714	0.15811	0.189025	0.504116	0.253731	0.751786	0.423447	NA	0.622977	NA	1.694664	NA	0.690719	0.415212	NA	0.219284	NA	0.412551	NA	NA	0.818971	0.334197	NA	0.63936	NA	NA	1.147455	NA	NA	NA	NA
hsa-miR-183-5p|MIMAT0000261	19574.222285	45590.938876	14488.004103	15305.644287	7943.760295	5242.629583	16637.145041	30538.520954	10410.570903	8266.674467	28770.583361	6419.760702	5214.060456	37993.534777	6980.217202	6896.967171	19085.489449	6904.824978	26944.552153	18230.59089	4707.486179	17894.366447	32852.58911	14603.440476	7339.612962	14650.430956	25580.676755	1123.859005	27107.271637	6109.178027	8368.059227	11680.362242	20903.501178	30855.211667	2784.697976	9504.773212	7551.961172	10331.347736	33664.079356	7639.414552	34626.117354	32886.484898	6919.301967	18309.78851	37791.763971	18827.517073	7932.982588	34098.510744	4380.547329
hsa-miR-183-3p|MIMAT0004560	1.415778	1.852638	1.190616	1.530106	NA	NA	0.730533	0.775916	0.797988	2.090712	3.374554	NA	0.135939	0.147232	0.446991	NA	9.819601	0.881588	0.863571	0.31622	0.567076	0.756174	2.452733	1.127679	1.270341	1.345836	1.868931	0.097795	2.541996	NA	NA	2.768089	2.780645	3.837456	NA	NA	0.550254	1.142028	1.910933	2.33938	4.363584	2.045952	0.268445	0.68339	6.119753	3.398008	0.826152	0.377083	1.976336
hsa-miR-187-5p|MIMAT0004561	NA	NA	NA	0.382526	NA	NA	NA	NA	NA	0.418142	NA	NA	NA	NA	NA	3.0771	NA	NA	0.287857	1.422994	NA	NA	1.014924	0.375893	NA	NA	NA	0.097795	NA	0.162172	NA	0.553616	0.695161	NA	NA	0.412551	NA	NA	NA	NA	1.090896	NA	NA	0.136678	NA	NA	NA	NA	NA
hsa-miR-187-3p|MIMAT0000262	9.281208	1.235092	68.162735	65.794532	NA	2.886558	24.35108	NA	65.701132	132.132985	1.874752	9.95511	6.253175	19.729025	0.297994	1056.747543	4.909801	2.644766	127.520584	474.330871	11.530544	4.537047	192.074404	45.483044	3.952175	NA	8.721677	44.007705	3.106883	4.540814	17.958691	72.247093	4.866129	1.644624	1.22261	108.913585	1.650762	0.285507	73.161418	2.005183	142.907326	5.626366	19.19381	0.68339	1.912423	15.291038	22.856861	NA	2.964503
hsa-miR-196a-3p|MIMAT0004562	1.573086	NA	NA	4.590316	NA	NA	0.730532	0.387958	1.063985	0.418142	0.281213	0.321133	1.359386	NA	0.148997	2.011951	NA	0.661192	NA	NA	NA	1.764407	NA	NA	1.129193	1.009377	0.622977	0.684564	2.541996	NA	NA	NA	NA	NA	0.407537	NA	1.100508	NA	0.27299	NA	NA	2.173823	0.402667	NA	NA	NA	NA	NA	NA
hsa-miR-199b-5p|MIMAT0000263	145.195829	56.814219	125.312277	179.787384	104.910188	165.495955	183.120125	192.427287	326.377699	258.411977	161.041101	611.115234	220.764268	216.577563	290.097397	381.678892	413.514391	282.549254	382.273891	623.428878	308.867346	223.575604	106.905349	186.067003	193.656588	54.169887	88.462718	547.260267	300.520318	567.601687	564.317327	226.567998	217.585496	352.716825	570.551322	245.055568	121.331009	282.080682	392.287149	129.668525	273.814797	246.920686	386.560678	334.724305	328.171706	176.696454	184.50718	92.762489	266.805274
hsa-miR-199b-3p|MIMAT0004563	2159.217683	1681.577312	5814.668205	4730.703362	580.43768	2241.572135	5649.937639	1944.834667	7516.795015	12422.173253	1886.093138	8136.535285	2760.912708	1617.190989	4092.652965	3562.809728	4831.790199	8662.713327	5709.64053	3522.539177	2664.122639	3965.127248	4326.114431	5044.107277	3163.998619	751.64924	3001.502622	8429.431492	4924.691982	4905.700278	9828.238938	5243.450567	6376.714875	2302.033709	5462.62135	10211.886433	1670.846302	3565.693966	8844.614703	3629.047756	4625.397361	4922.941183	4359.008569	2300.69997	5436.634754	2143.294031	4370.341713	3832.674566	2659.159225
