TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.3C.AALI.01A.11R.A41B.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.3C.AALK.01A.11R.A41B.07	TCGA.4H.AAAK.01A.12R.A41B.07	TCGA.5L.AAT0.01A.12R.A41B.07	TCGA.5L.AAT1.01A.12R.A41B.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.A1.A0SB.01A.11R.A144.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A1.A0SE.01A.11R.A084.07	TCGA.A1.A0SF.01A.11R.A144.07	TCGA.A1.A0SG.01A.11R.A144.07	TCGA.A1.A0SH.01A.11R.A084.07	TCGA.A1.A0SI.01A.11R.A144.07	TCGA.A1.A0SJ.01A.11R.A084.07	TCGA.A1.A0SK.01A.12R.A084.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.A1.A0SN.01A.11R.A144.07	TCGA.A1.A0SO.01A.22R.A084.07	TCGA.A1.A0SP.01A.11R.A084.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A2.A04N.01A.11R.A115.07	TCGA.A2.A04P.01A.31R.A034.07	TCGA.A2.A04Q.01A.21R.A034.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.A2.A04T.01A.21R.A034.07	TCGA.A2.A04U.01A.11R.A115.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.A2.A04W.01A.31R.A115.07	TCGA.A2.A04X.01A.21R.A034.07	TCGA.A2.A04Y.01A.21R.A034.07	TCGA.A2.A0CK.01A.11R.A22K.07	TCGA.A2.A0CL.01A.11R.A115.07	TCGA.A2.A0CM.01A.31R.A034.07	TCGA.A2.A0CO.01A.13R.A22K.07	TCGA.A2.A0CP.01A.11R.A034.07	TCGA.A2.A0CQ.01A.21R.A034.07	TCGA.A2.A0CR.01A.11R.A22K.07	TCGA.A2.A0CS.01A.11R.A115.07	TCGA.A2.A0CT.01A.31R.A056.07	TCGA.A2.A0CU.01A.12R.A034.07	TCGA.A2.A0CV.01A.31R.A115.07	TCGA.A2.A0CW.01A.21R.A115.07	TCGA.A2.A0CX.01A.21R.A00Z.07	TCGA.A2.A0CY.01A.12R.A034.07	TCGA.A2.A0CZ.01A.11R.A034.07	TCGA.A2.A0D0.01A.11R.A00Z.07	TCGA.A2.A0D1.01A.11R.A034.07
?|100130426	0	0	0.9066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|100133144	16.3644	9.2659	11.6228	12.0894	6.8468	3.9889	0	1.4644	15.3396	9.5178	10.037	10.2517	6.0625	1.6902	3.7905	1.6424	50.5641	6.5562	12.5818	12.5687	11.7293	0.5769	5.3011	1.2241	1.1801	3.6258	16.6878	0	4.5142	1.3076	1.4779	9.4446	0.998	10.7672	19.7115	9.8632	10.2346	7.4676	0	1.4905	0	7.3845	3.5615	6.0066	1.0049	9.3125	7.1857	2.5659	5.3773
?|100134869	12.9316	17.379	9.2294	11.0799	14.4298	13.609	10.5949	8.9958	14.3935	11.3241	4.4426	10.7401	4.3776	3.0048	2.9782	4.9419	28.856	7.6484	5.6992	21.4958	9.4309	1.0368	6.981	3.444	3.8334	11.5874	23.9972	0.5195	5.2638	4.636	2.8476	15.3128	2.6384	7.765	3.826	6.4292	4.5107	5.7526	4.9047	2.6627	5.0167	5.2157	5.8939	2.9027	3.4346	6.6483	5.1952	1.5527	20.9912
?|10357	52.1503	69.7553	154.2974	143.8643	84.2128	114.2572	115.9984	107.5628	116.387	60.263	153.1452	141.1933	68.5843	79.8003	63.5491	134.8733	1119.1932	119.476	95.0898	383.9288	190.5983	41.5532	108.0428	244.2064	185.5958	119.8406	232.6558	411.4041	166.4412	101.3265	70.5055	139.8595	113.6646	91.2602	238.3801	97.5164	96.5147	86.5958	115.1087	77.7942	59.2266	73.5739	63.6091	133.456	102.7908	109.5703	92.4	234.9835	118.4932
?|10431	408.076	563.8934	1360.8341	865.5358	766.383	807.7431	1108.3945	1420.5021	657.2812	977.9175	1084.3274	1219.665	1072.8107	989.197	878.1636	765.9808	1091.7113	831.1237	718.73	669.9357	668.3692	775.7943	1049.5246	3071.5768	1706.1319	1447.4328	758.0631	4388.1024	1027.5005	1759.8271	1451.203	1444.9649	795.5556	738.3247	1431.6372	572.7415	1263.4048	1406.3421	1191.8404	1250.1154	900.9197	682.3215	977.0585	1843.3683	1239.0273	1351.7495	830.9524	1345.5519	1575.9859
?|136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
?|155060	1187.005	516.0413	592.0218	552.7513	260.8511	276.2868	208.639	76.3598	279.7612	83.6986	74.7018	314.4482	254.5225	95.7054	149.794	63.6488	166.7192	80.8081	108.4028	143.0169	140.0949	75.8447	219.0967	329.8755	354.8014	262.2476	165.8698	78.9713	132.8173	137.782	45.7781	498.829	263.0303	229.4292	125.9952	281.5666	247.319	400.536	201.0924	27.2266	24.2475	176.4032	102.2903	290.2716	113.8129	208.717	126.1905	118.2043	349.8529
?|26823	0	1.0875	0	0.4137	0.4255	0	0	0.523	0.4505	0.3308	0	0	0.36	0	0.2943	0.3658	0.3152	0.3157	0	1.0814	0	0	1.5848	0.5187	0.3857	1.8111	0.3477	0	0	0	0.3605	0.6691	0	0.7413	0	2.0888	0	1.7865	0	0.4615	0	0.3818	0	0	0.8072	0	0.9524	0	0.4709
?|280660	0	0.5438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6139	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
